655930,20,101,-23,1
0,21,0,0,0
26,10C,1628
49,10D,0
25,104,23
19,111,14
20,10C,1554
32,10D,0
31,104,23
2,20,99,-26,-4
0,21,-1,0,0
26,111,14
2,10,7075900
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
78,10C,1484
32,10D,0
33,104,24
14,111,14
16,20,99,-28,-5
0,21,-1,0,0
19,10C,1425
20,10,7075920
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
58,10D,0
29,104,25
18,111,14
20,10C,1328
30,10D,0
21,20,99,-28,-7
0,21,-1,0,0
18,104,25
18,111,14
20,10C,1234
28,10D,0
29,104,26
24,111,14
18,10C,1167
30,10D,0
21,20,99,-28,-6
0,21,-1,0,0
23,104,26
14,111,14
24,10C,1089
28,10D,0
29,104,27
20,111,13
22,10C,1023
27,10D,0
21,20,98,-28,-9
0,21,-1,0,0
15,10,7075980
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
68,104,29
28,111,13
21,10C,789
26,10D,0
33,104,33
3,10,7080000
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
44,20,97,-26,-7
0,21,-1,0,0
17,111,13
16,10C,628
30,10D,0
33,104,36
15,111,12
23,10C,582
25,10,7080020
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
38,10D,0
22,20,100,-29,-6
0,21,0,0,0
17,104,38
15,111,12
22,10C,562
28,10D,0
31,104,40
20,111,12
2,10,7080040
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
52,10C,574
31,20,99,-28,-7
0,21,-1,0,0
19,10D,0
30,104,41
22,111,12
19,10C,589
25,10,7080060
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
39,10D,0
29,104,41
20,20,102,-26,-6
0,21,-1,0,0
17,111,12
15,10C,621
30,10D,0
28,104,41
21,111,12
2,10,7080080
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
53,10C,648
31,10D,0
22,20,99,-27,-6
0,21,-1,0,0
17,104,41
24,111,12
22,10C,644
28,10D,0
22,10,7080100
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
37,104,40
16,111,12
22,10C,632
20,20,99,-28,-10
0,21,-1,0,0
21,10D,0
31,104,40
21,111,12
21,10C,621
19,10,7080120
0,D,0
0,A,-3381958
0,B,15129730
0,C,80
39,10D,0
33,104,40
17,20,100,-27,-5
0,21,0,0,0
17,111,12
14,10C,609
29,10D,0
31,104,40
21,111,12
2,10,7080140
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
51,10C,617
32,10D,0
22,20,98,-29,-6
0,21,-1,0,0
17,104,38
16,111,12
20,10C,621
21,10,7080160
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
48,10D,0
29,104,38
23,111,12
19,10C,605
20,20,101,-27,-7
0,21,-1,0,0
16,10D,0
33,104,38
2,10,7080180
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
66,111,12
26,10C,597
30,10D,0
29,20,101,-27,-5
0,21,-1,0,0
16,104,38
26,111,12
14,10,7080200
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
53,10C,597
29,10D,0
28,104,38
20,111,12
15,20,101,-28,3
0,21,0,0,0
16,10C,601
31,10D,0
22,10,7080220
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
41,104,38
14,111,12
24,10C,597
27,10D,0
26,20,101,-27,-7
0,21,0,0,0
15,104,38
18,111,12
16,10C,597
19,10,7080240
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
53,10D,0
29,104,38
23,111,12
23,10C,617
19,20,98,-28,-4
0,21,-1,0,0
16,10D,0
34,104,38
23,111,12
15,10C,628
32,10D,0
29,104,37
18,111,12
23,10C,625
20,20,99,-29,-7
0,21,0,0,0
17,10D,0
22,10,7080280
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
56,104,37
18,111,12
16,10C,621
31,10D,0
27,104,38
23,20,102,-25,-9
0,21,-1,0,0
18,111,12
14,10C,640
22,10,7080300
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
53,10D,0
30,104,41
21,111,14
20,10C,656
22,20,98,-29,-5
0,21,-1,0,0
16,10,7080320
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
67,10D,0
31,104,47
17,111,18
24,10C,746
29,10D,0
21,20,94,-30,-10
0,21,-1,0,0
23,104,60
25,111,19
19,10C,859
32,10D,0
29,104,65
19,111,18
22,10C,1039
31,10D,0
20,20,97,-35,-5
0,21,-1,0,0
15,10,7080360
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
68,104,63
20,111,18
14,10C,1414
31,10D,0
31,104,57
9,10,7080380
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
38,111,18
7,20,95,-41,-7
0,21,-1,0,0
17,10C,1527
32,10D,0
30,104,53
20,111,18
21,10C,1546
30,10D,0
32,10,7080400
0,D,0
0,A,-3381958
0,B,15129730
0,C,75
38,104,51
7,20,98,-32,-8
0,21,-1,0,0
18,111,18
14,10C,1523
29,10D,0
30,104,50
20,111,18
20,10,7080420
0,D,1
0,A,-3381958
0,B,15129730
0,C,75
38,10C,1496
29,10D,0
20,20,98,-31,-7
0,21,-2,0,0
19,104,51
14,111,18
19,10C,1457
30,10D,0
30,104,51
2,10,7080440
0,D,1
0,A,-3381958
0,B,15129730
0,C,75
56,111,18
20,10C,1449
19,20,97,-37,-10
0,21,-3,0,0
19,10D,0
31,104,52
20,111,18
19,10C,1445
23,10,7080460
0,D,2
0,A,-3381958
0,B,15129730
0,C,75
39,10D,1
29,104,52
18,111,18
2,20,105,-33,19
0,21,-3,4,-2
31,10C,1441
26,10D,1
32,104,52
14,10,7080480
0,D,2
0,A,-3381958
0,B,15129730
0,C,75
38,111,18
19,10C,1453
40,20,101,-31,-8
0,21,-5,1,0
19,10D,1
30,104,41
20,111,14
21,10C,1386
22,10,7080500
0,D,3
0,A,-3381958
0,B,15129730
0,C,75
39,10D,1
39,104,33
11,20,101,-26,-11
0,21,-6,1,0
18,111,14
15,10C,1156
30,10D,1
31,104,33
13,10,7080520
0,D,4
0,A,-3381958
0,B,15129731
0,C,75
39,111,15
18,10C,1023
28,10D,3
21,20,103,-26,-4
0,21,-6,1,0
18,104,37
17,111,14
19,10C,933
32,10D,3
22,10,7080540
0,D,4
0,A,-3381957
0,B,15129731
0,C,75
38,104,40
18,111,14
20,10C,863
19,20,103,-21,-10
0,21,-7,1,0
17,10D,3
28,104,40
21,111,13
20,10C,839
24,10,7080560
0,D,4
0,A,-3381957
0,B,15129731
0,C,75
38,10D,3
33,104,40
20,111,13
2,20,101,-24,-8
0,21,-7,1,0
29,10C,804
30,10D,3
27,10,7080580
0,D,4
0,A,-3381957
0,B,15129731
0,C,75
38,104,40
18,111,13
24,10C,769
27,10D,3
21,20,97,-26,-5
0,21,-6,1,0
17,104,40
18,111,14
18,10C,718
29,10D,3
30,104,43
21,111,15
31,10C,671
31,10D,3
21,20,100,-27,-4
0,21,-5,1,0
17,104,48
17,111,15
20,10C,660
20,10,7080620
0,D,3
0,A,-3381957
0,B,15129731
0,C,75
48,10D,3
29,104,56
22,111,16
20,10C,761
19,20,104,-24,-5
0,21,-6,1,0
20,10D,3
45,104,55
22,111,16
18,10C,929
31,10D,3
30,104,51
17,111,16
21,20,101,-25,-8
0,21,-5,0,0
16,10C,1015
29,10D,3
30,104,49
22,111,16
19,10C,1101
29,10D,2
29,104,46
21,111,16
5,20,98,-32,-8
0,21,-5,1,0
29,10C,1132
20,10,7080680
0,D,2
0,A,-3381956
0,B,15129732
0,C,75
48,10D,2
29,104,44
19,111,16
19,10C,1132
31,10D,2
20,20,97,-29,-8
0,21,-5,0,0
19,104,43
7,10,7080700
0,D,2
0,A,-3381956
0,B,15129732
0,C,75
71,111,16
24,10C,1117
28,10D,2
32,104,43
18,111,16
2,20,103,-26,-8
0,21,-5,0,0
24,10,7080720
0,D,3
0,A,-3381956
0,B,15129732
0,C,75
59,10C,1097
33,10D,2
32,104,43
15,111,16
20,10C,1078
20,20,101,-27,-14
0,21,-6,1,0
18,10D,2
22,10,7080740
0,D,3
0,A,-3381956
0,B,15129732
0,C,75
55,104,43
15,111,16
23,10C,1078
28,10D,2
31,104,44
9,20,103,-23,-5
0,21,-6,1,0
19,111,16
7,10,7080760
0,D,3
0,A,-3381956
0,B,15129732
0,C,75
70,10C,1074
28,10D,2
30,104,44
22,111,16
19,10C,1066
19,20,97,-30,-11
0,21,-6,0,0
20,10D,2
30,104,44
21,111,16
21,10C,1066
28,10D,2
29,104,45
21,111,16
20,10C,1066
19,20,97,-30,-7
0,21,-5,1,0
24,10D,2
44,104,45
16,111,16
33,10C,1066
28,10D,2
30,104,45
22,111,16
2,10,7080820
0,D,3
0,A,-3381956
0,B,15129733
0,C,75
44,20,101,-29,-11
0,21,-6,1,0
19,10C,1066
27,10D,2
30,104,43
22,111,13
20,10C,1066
32,10D,2
21,10,7080840
0,D,3
0,A,-3381956
0,B,15129733
0,C,75
38,104,37
7,20,101,-23,-8
0,21,-6,0,0
18,111,13
18,10C,1027
32,10D,2
27,104,34
20,111,14
21,10C,941
20,10,7080860
0,D,3
0,A,-3381956
0,B,15129733
0,C,75
39,10D,2
20,20,105,-21,-6
0,21,-6,1,0
19,104,37
18,111,14
20,10C,855
29,10D,2
28,104,37
12,10,7080880
0,D,3
0,A,-3381956
0,B,15129733
0,C,75
39,111,13
18,10C,816
20,20,104,-22,-4
0,21,-5,0,0
17,10D,2
30,104,40
22,111,13
19,10C,796
32,10D,2
21,10,7080900
0,D,2
0,A,-3381955
0,B,15129733
0,C,75
38,104,38
19,111,13
2,20,98,-26,-2
0,21,-5,1,0
30,10C,785
36,10D,2
32,104,38
21,111,13
2,10,7080920
0,D,2
0,A,-3381955
0,B,15129733
0,C,75
57,10C,773
23,20,100,-22,-8
0,21,-4,0,0
18,10D,2
34,104,37
13,111,13
23,10C,761
28,10D,2
22,10,7080940
0,D,2
0,A,-3381955
0,B,15129734
0,C,75
38,104,38
15,111,13
18,20,102,-24,-8
0,21,-4,0,0
19,10C,753
27,10D,2
31,104,38
19,111,13
15,10,7080960
0,D,2
0,A,-3381955
0,B,15129734
0,C,75
38,10C,746
27,10D,2
27,20,100,-24,-5
0,21,-4,0,0
17,104,38
19,111,13
17,10C,730
30,10D,2
27,10,7080980
0,D,2
0,A,-3381955
0,B,15129734
0,C,75
38,104,40
15,111,13
19,10C,726
20,20,98,-27,-8
0,21,-4,0,0
18,10D,2
29,104,40
26,111,13
21,10C,738
21,10,7081000
0,D,1
0,A,-3381955
0,B,15129734
0,C,75
39,10D,2
33,104,40
16,20,101,-24,-5
0,21,-4,0,0
18,111,12
28,10C,746
28,10D,2
27,10,7081020
0,D,1
0,A,-3381955
0,B,15129734
0,C,75
42,104,37
15,111,12
19,10C,734
24,20,98,-24,-9
0,21,-3,0,0
18,10D,1
28,104,35
20,111,12
22,10C,718
22,10,7081040
0,D,1
0,A,-3381955
0,B,15129734
0,C,75
39,10D,1
33,104,35
19,111,12
2,20,97,-24,-7
0,21,-3,0,0
31,10C,703
29,10D,1
28,104,35
12,10,7081060
0,D,1
0,A,-3381955
0,B,15129734
0,C,75
39,111,12
15,10C,695
27,10D,1
22,20,102,-23,-6
0,21,-2,0,0
17,104,35
19,111,12
14,10C,675
29,10D,1
30,104,35
16,10,7081080
0,D,1
0,A,-3381955
0,B,15129734
0,C,76
38,111,12
18,10C,671
19,20,101,-23,-8
0,21,-2,0,0
22,10D,0
43,104,36
18,111,12
15,10,7081100
0,D,1
0,A,-3381955
0,B,15129735
0,C,76
39,10C,664
27,10D,0
30,104,37
6,20,100,-24,-10
0,21,-2,0,0
30,111,12
26,10C,671
30,10D,0
23,10,7081120
0,D,0
0,A,-3381955
0,B,15129735
0,C,76
39,104,37
18,111,13
